,country,year,gas,emissions_quantity tonnes
0,ABW,2015,ch4,0.0
1,ABW,2015,co2,0.0
2,ABW,2015,co2e_100yr,0.0
3,ABW,2015,co2e_20yr,0.0
4,ABW,2015,n2o,0.0
5,ABW,2016,ch4,0.0
6,ABW,2016,co2,0.0
7,ABW,2016,co2e_100yr,0.0
8,ABW,2016,co2e_20yr,0.0
9,ABW,2016,n2o,0.0
10,ABW,2017,ch4,0.0
11,ABW,2017,co2,0.0
12,ABW,2017,co2e_100yr,0.0
13,ABW,2017,co2e_20yr,0.0
14,ABW,2017,n2o,0.0
15,ABW,2018,ch4,0.0
16,ABW,2018,co2,0.0
17,ABW,2018,co2e_100yr,0.0
18,ABW,2018,co2e_20yr,0.0
19,ABW,2018,n2o,0.0
20,ABW,2019,ch4,0.0
21,ABW,2019,co2,0.0
22,ABW,2019,co2e_100yr,0.0
23,ABW,2019,co2e_20yr,0.0
24,ABW,2019,n2o,0.0
25,ABW,2020,ch4,0.0
26,ABW,2020,co2,0.0
27,ABW,2020,co2e_100yr,0.0
28,ABW,2020,co2e_20yr,0.0
29,ABW,2020,n2o,0.0
30,ABW,2021,ch4,0.0
31,ABW,2021,co2,0.0
32,ABW,2021,co2e_100yr,0.0
33,ABW,2021,co2e_20yr,0.0
34,ABW,2021,n2o,0.0
35,ABW,2022,ch4,0.0
36,ABW,2022,co2,0.0
37,ABW,2022,co2e_100yr,0.0
38,ABW,2022,co2e_20yr,0.0
39,ABW,2022,n2o,0.0
40,AFG,2015,ch4,21911.34462354621
41,AFG,2015,co2,0.0
42,AFG,2015,co2e_100yr,613517.6494592939
43,AFG,2015,co2e_20yr,1840552.9483778817
44,AFG,2015,n2o,0.0
45,AFG,2016,ch4,21911.34462354621
46,AFG,2016,co2,0.0
47,AFG,2016,co2e_100yr,613517.6494592939
48,AFG,2016,co2e_20yr,1840552.9483778817
49,AFG,2016,n2o,0.0
50,AFG,2017,ch4,21911.34462354621
51,AFG,2017,co2,0.0
52,AFG,2017,co2e_100yr,613517.6494592939
53,AFG,2017,co2e_20yr,1840552.9483778817
54,AFG,2017,n2o,0.0
55,AFG,2018,ch4,21911.34462354621
56,AFG,2018,co2,0.0
57,AFG,2018,co2e_100yr,613517.6494592939
58,AFG,2018,co2e_20yr,1840552.9483778817
59,AFG,2018,n2o,0.0
60,AFG,2019,ch4,21911.34462354621
61,AFG,2019,co2,0.0
62,AFG,2019,co2e_100yr,613517.6494592939
63,AFG,2019,co2e_20yr,1840552.9483778817
64,AFG,2019,n2o,0.0
65,AFG,2020,ch4,21911.34462354621
66,AFG,2020,co2,0.0
67,AFG,2020,co2e_100yr,613517.6494592939
68,AFG,2020,co2e_20yr,1840552.9483778817
69,AFG,2020,n2o,0.0
70,AFG,2021,ch4,21911.34462354621
71,AFG,2021,co2,0.0
