,source_id,source_name,company_name,ultimate_parent_name,country,lat,lon,ultimate_parent_id,company_id,percent_interest_parent,percent_interest_company,percent_company_datasource,percent_parent_datasource,ultimate_parent_revenue_annual (mil),created_date
0,3162256,Dahna Toor Coal Mine,North Coal Enterprise (NCE),North Coal Enterprise (NCE),AFG,35.70499225,67.31219552,100000131989,100000131989,100.0,100.0,{11680},{11680},460,49:34.1
1,3162257,Garmak Project Coal Mine,Khoshak Brothers,Khoshak Brothers,AFG,35.733,67.308,100000131795,100000131795,100.0,100.0,{11681},{11681},6300,49:34.1
2,14855,Shadashak Coal Mine,North Coal Enterprise (NCE),North Coal Enterprise (NCE),AFG,35.863255,67.596674,100000131989,100000131989,100.0,100.0,{11682},{11682},460,49:33.9
3,3162259,Tala Wa Barfak Coal Mine,North Coal Enterprise (NCE),North Coal Enterprise (NCE),AFG,35.33194,68.12,100000131989,100000131989,100.0,100.0,{11683},{11683},460,49:34.1
4,3162260,Valius Coal Mine,unknown,unknown,ALB,41.39151824,19.73642639,100000132388,100000132388,100.0,100.0,{11684},{11684},50,49:34.1
5,14856,Río Turbio Coal Mine,Yacimientos Carboníferos de Río Turbio,Yacimientos Carboníferos de Río Turbio,ARG,-51.538363,-72.324353,100001000714,100001000714,100.0,100.0,{11685},{11685},1500,49:33.9
6,14857,Airly Coal Mine,Centennial Coal Company,Banpu,AUS,-33.1130709,150.0149367,100001001130,100001001131,100.0,100.0,{11686},"{6204,11686}",15,49:33.9
7,14858,Appin Coal Mine,Illawarra Coal,South32,AUS,-34.211194,150.792736,100001010133,100000131694,100.0,100.0,{11687},{11687},25,49:33.9
8,14859,Aquila Coal Mine,Capcoal,Mitsui & Co,AUS,-22.9816055,148.5373229,100000000651,100001000775,30.0,100.0,{11688},"{5832,11688}",575,49:33.9
9,14859,Aquila Coal Mine,Capcoal,Anglo American,AUS,-22.9816055,148.5373229,100001000407,100001000775,70.0,100.0,{11688},"{5837,11688}",125,49:33.9
10,14860,Ashton Coal Mine,Yancoal Australia,Yancoal Australia,AUS,-32.468942,151.078493,100000132368,100000132368,100.0,100.0,{11689},"{7048,11689}",44,49:33.9
11,14861,Baralaba Coal Mine,Baralaba Coal,AMCI Group,AUS,-24.13680401,149.7936125,100000131213,100000131345,100.0,100.0,{11690},{11690},646,49:33.9
12,14862,Bengalla Coal Mine,Taiwan Power,Taiwan Power,AUS,-32.268076,150.84,100000002128,100000002128,20.0,20.0,{11691},"{5365,11691}",1180,49:33.9
13,14862,Bengalla Coal Mine,New Hope Group,New Hope Group,AUS,-32.268076,150.84,100000131974,100000131974,80.0,80.0,{11691},{11691},9000,49:33.9
14,14863,Blackwater Coal Mine,BHP Billiton Mitsubishi Alliance,BHP Group,AUS,-23.685585,148.807361,100000000015,100001000762,50.0,100.0,{11692},"{5827,6453,11692}",32100,49:33.9
15,14863,Blackwater Coal Mine,BHP Billiton Mitsubishi Alliance,Mitsubishi,AUS,-23.685585,148.807361,100000000650,100001000762,50.0,100.0,{11692},"{5826,5827,6453,11692}",40,49:33.9
16,14864,Blackwood Coal Mine,Cornwall Coal,Cement Australia,AUS,-41.559798,148.130942,100000131474,100000131517,100.0,100.0,{11693},{11693},40,49:33.9
17,14865,Blair Athol Coal Mine,Orion Mining,TerraCom,AUS,-22.703221,147.54353,100000132284,100000132008,100.0,100.0,{11694},{11694},28,49:33.9
18,14866,Bloomfield Coal Mine,Bloomfield Collieries,Bloomfield Group,AUS,-32.7928986,151.5841947,100000131403,100000131402,100.0,100.0,{11695},{11695},90,49:33.9
19,16648,Bluff Coal Mine,Bowen Coking Coal,Bowen Coking Coal,AUS,-23.58974663,149.0786443,100001010170,100001010170,100.0,100.0,{11696},"{7040,11696}",4,49:34.0
20,14867,Boggabri Coal Mine,Chugoku Electric Power,Chugoku Electric Power,AUS,-30.6116182,150.1550389,100000001982,100000001982,10.0,10.0,{11697},"{7003,11697}",232,49:33.9
